director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,plot_keywords,language
james cameron,cch pounder,joel david moore,wes studi,action adventure fantasy sci-fi,avatar,avatar future marine native paraplegic,english
gore verbinski,johnny depp,orlando bloom,jack davenport,action adventure fantasy,pirates of the caribbean: at world's end,goddess marriage ceremony marriage proposal pirate singapore,english
sam mendes,christoph waltz,rory kinnear,stephanie sigman,action adventure thriller,spectre,bomb espionage sequel spy terrorist,english
christopher nolan,tom hardy,christian bale,joseph gordon-levitt,action thriller,the dark knight rises,deception imprisonment lawlessness police officer terrorist plot,english
doug walker,doug walker,rob walker,unknown_actor,documentary,star wars: episode vii - the force awakens            ,unknown_keywords,english
andrew stanton,daryl sabara,samantha morton,polly walker,action adventure sci-fi,john carter,alien american civil war male nipple mars princess,english
sam raimi,j.k. simmons,james franco,kirsten dunst,action adventure romance,spider-man 3,sandman spider man symbiote venom villain,english
nathan greno,brad garrett,donna murphy,m.c. gainey,adventure animation comedy family fantasy musical romance,tangled,17th century based on fairy tale disney flower tower,english
joss whedon,chris hemsworth,robert downey jr.,scarlett johansson,action adventure sci-fi,avengers: age of ultron,artificial intelligence based on comic book captain america marvel cinematic universe superhero,english
david yates,alan rickman,daniel radcliffe,rupert grint,adventure family fantasy mystery,harry potter and the half-blood prince,blood book love potion professor,english
zack snyder,henry cavill,lauren cohan,alan d. purwin,action adventure sci-fi,batman v superman: dawn of justice,based on comic book batman sequel to a reboot superhero superman,english
bryan singer,kevin spacey,marlon brando,frank langella,action adventure sci-fi,superman returns,crystal epic lex luthor lois lane return to earth,english
marc forster,giancarlo giannini,mathieu amalric,rory kinnear,action adventure,quantum of solace,action hero attempted rape bond girl official james bond series revenge,english
gore verbinski,johnny depp,orlando bloom,jack davenport,action adventure fantasy,pirates of the caribbean: dead man's chest,box office hit giant squid heart liar's dice monster,english
gore verbinski,johnny depp,ruth wilson,tom wilkinson,action adventure western,the lone ranger,horse outlaw texas texas ranger train,english
zack snyder,henry cavill,christopher meloni,harry lennix,action adventure fantasy sci-fi,man of steel,based on comic book british actor playing american character final battle origin of hero reboot,english
andrew adamson,peter dinklage,pierfrancesco favino,damián alcázar,action adventure family fantasy,the chronicles of narnia: prince caspian,brother brother relationship brother sister relationship good versus evil king narnia,english
joss whedon,chris hemsworth,robert downey jr.,scarlett johansson,action adventure sci-fi,the avengers,alien invasion assassin battle iron man soldier,english
rob marshall,johnny depp,sam claflin,stephen graham,action adventure fantasy,pirates of the caribbean: on stranger tides,blackbeard captain pirate revenge soldier,english
barry sonnenfeld,will smith,michael stuhlbarg,nicole scherzinger,action adventure comedy family fantasy sci-fi,men in black 3,alien criminal m.i.b. maximum security prison prison,english
peter jackson,aidan turner,adam brown,james nesbitt,adventure fantasy,the hobbit: the battle of the five armies,army elf hobbit middle earth orc,english
marc webb,emma stone,andrew garfield,chris zylka,action adventure fantasy,the amazing spider-man,lizard outcast spider spider man teenager,english
ridley scott,mark addy,william hurt,scott grimes,action adventure drama history,robin hood,1190s archer england king of england robin hood,english
peter jackson,aidan turner,adam brown,james nesbitt,adventure fantasy,the hobbit: the desolation of smaug,dwarf elf lake town mountain sword and sorcery,english
chris weitz,christopher lee,eva green,kristin scott thomas,adventure family fantasy,the golden compass,children epic friend girl quest,english
peter jackson,naomi watts,thomas kretschmann,evan parke,action adventure drama romance,king kong,animal name in title ape abducts a woman gorilla island king kong,english
james cameron,leonardo dicaprio,kate winslet,gloria stuart,drama romance,titanic,artist love ship titanic wet,english
anthony russo,robert downey jr.,scarlett johansson,chris evans,action adventure sci-fi,captain america: civil war,based on comic book knife marvel cinematic universe returning character killed off superhero,english
peter berg,liam neeson,alexander skarsgård,tadanobu asano,action adventure sci-fi thriller,battleship,box office flop hawaii naval oahu hawaii ship,english
colin trevorrow,bryce dallas howard,judy greer,omar sy,action adventure sci-fi thriller,jurassic world,dinosaur disaster film experiment gone wrong jurassic park velociraptor,english
sam mendes,albert finney,helen mccrory,rory kinnear,action adventure thriller,skyfall,brawl childhood home computer cracker intelligence agency terrorist cell,english
sam raimi,j.k. simmons,james franco,kirsten dunst,action adventure fantasy romance,spider-man 2,death doctor scientist super villain tentacle,english
shane black,robert downey jr.,jon favreau,don cheadle,action adventure sci-fi,iron man 3,armor explosion human bomb missile attack terrorist,english
tim burton,johnny depp,alan rickman,anne hathaway,adventure family fantasy,alice in wonderland,alice in wonderland mistaking reality for dream queen shrinking shrinking potion,english
brett ratner,hugh jackman,kelsey grammer,daniel cudmore,action adventure fantasy sci-fi thriller,x-men: the last stand,battle mutant outrage walking through a wall x men,english
dan scanlon,steve buscemi,tyler labine,sean hayes,adventure animation comedy family fantasy,monsters university,cheating fraternity monster singing in a car university,english
michael bay,glenn morshower,kevin dunn,ramon rodriguez,action adventure sci-fi,transformers: revenge of the fallen,autobot decepticon machine sun symbol,english
michael bay,bingbing li,sophia myles,kelsey grammer,action adventure sci-fi,transformers: age of extinction,blockbuster bumblebee the character semi truck and trailer texas truck,english
sam raimi,tim holmes,mila kunis,james franco,adventure family fantasy,oz the great and powerful,circus magic magician oz witch,english
marc webb,emma stone,andrew garfield,b.j. novak,action adventure fantasy sci-fi,the amazing spider-man 2,costumed hero death of girlfriend masked vigilante returning character killed off teenager,english
joseph kosinski,jeff bridges,olivia wilde,james frain,action adventure sci-fi,tron: legacy,arcade bridge disappearance escape warrior,english
john lasseter,joe mantegna,thomas kretschmann,eddie izzard,adventure animation comedy family sport,cars 2,best friend car race conspiracy gadget car spy,english
martin campbell,ryan reynolds,temuera morrison,taika waititi,action adventure sci-fi,green lantern,autopsy lantern planet ring test pilot,english
lee unkrich,tom hanks,john ratzenberger,don rickles,adventure animation comedy family fantasy,toy story 3,college day care escape teddy bear toy,english
mcg,christian bale,bryce dallas howard,common,action adventure sci-fi,terminator salvation,death row future machine rescue skynet,english
james wan,jason statham,paul walker,vin diesel,action crime thriller,furious 7,car falling off a cliff hospital revenge star died before release terrorist,english
marc forster,peter capaldi,brad pitt,mireille enos,action adventure horror sci-fi thriller,world war z,chaos disease infection pandemic zombie,english
bryan singer,jennifer lawrence,peter dinklage,hugh jackman,action adventure fantasy sci-fi thriller,x-men: days of future past,dystopia super strength supernatural power time paradox time travel,english
j.j. abrams,benedict cumberbatch,bruce greenwood,noel clarke,action adventure sci-fi,star trek into darkness,admiral captain manhunt mission space,english
bryan singer,eddie marsan,ewen bremner,ralph brown,adventure fantasy,jack the giant slayer,bean giant king no opening credits princess,english
baz luhrmann,leonardo dicaprio,elizabeth debicki,steve bisley,drama romance,the great gatsby,ingratitude mansion party title appears in writing tragedy,english
mike newell,jake gyllenhaal,richard coyle,reece ritchie,action adventure fantasy romance,prince of persia: the sands of time,alamut dagger king persia princess,english
guillermo del toro,charlie hunnam,clifton collins jr.,larry joe campbell,action adventure sci-fi,pacific rim,giant monster kaiju pilot portal robot,english
michael bay,glenn morshower,lester speight,kevin dunn,action adventure sci-fi,transformers: dark of the moon,autobot decepticon job interview moon spacecraft,english
steven spielberg,harrison ford,ray winstone,jim broadbent,action adventure fantasy,indiana jones and the kingdom of the crystal skull,cult figure femme fatale indiana jones unsubtitled foreign language year 1957,english
peter sohn,a.j. buckley,jack mcgraw,peter sohn,adventure animation comedy family fantasy,the good dinosaur,apatosaurus asteroid dinosaur fear river,english
mark andrews,kelly macdonald,john ratzenberger,julie walters,adventure animation comedy family fantasy,brave,archery coming of age female warrior princess rebellious daughter,english
justin lin,sofia boutella,melissa roxburgh,lydia wilson,action adventure sci-fi thriller,star trek beyond,hatred sequel space opera star trek third part,english
andrew stanton,john ratzenberger,fred willard,jeff garlin,adventure animation family sci-fi,wall·e,earth obesity plant robot soil,english
brett ratner,tzi ma,dana ivey,noémie lenoir,action comedy crime thriller,rush hour 3,ambassador assassination chinese french triad,english
roland emmerich,oliver platt,liam james,tom mccarthy,action adventure sci-fi,2012,ark catastrophe geologist president writer,english
robert zemeckis,robin wright,colin firth,gary oldman,animation drama family fantasy,a christmas carol,charles dickens christmas christmas eve ghost scrooge,english
lana wachowski,channing tatum,mila kunis,eddie redmayne,action adventure sci-fi,jupiter ascending,box office flop critically bashed planet earth space opera woman in bra and panties,english
david yates,christoph waltz,alexander skarsgård,casper crump,action adventure drama romance,the legend of tarzan,africa capture jungle male objectification tarzan,english
andrew adamson,jim broadbent,kiran shah,shane rangi,adventure family fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe",hide and seek lion magic professor snow,english
bryan singer,jennifer lawrence,michael fassbender,tye sheridan,action adventure sci-fi,x-men: apocalypse,mutant superhero superhero team x men year 1983,english
christopher nolan,christian bale,heath ledger,morgan freeman,action crime drama thriller,the dark knight,based on comic book dc comics psychopath star died before release urban setting,english
pete docter,john ratzenberger,delroy lindo,jess harnell,adventure animation comedy family,up,balloon house promise retirement skeleton,english
rob letterman,amy poehler,rainn wilson,stephen colbert,action adventure animation comedy family sci-fi,monsters vs. aliens,alien alien invasion alien space craft giant giantess,english
jon favreau,robert downey jr.,jeff bridges,jon favreau,action adventure sci-fi,iron man,afghanistan billionaire inventor playboy u.s. air force,english
martin scorsese,chloë grace moretz,christopher lee,ray winstone,adventure drama family mystery,hugo,automaton mechanical railway station steampunk train,english
barry sonnenfeld,will smith,salma hayek,bai ling,action comedy sci-fi western,wild wild west,buddy movie general inventor steampunk utah,english
rob cohen,jet li,brendan fraser,russell wong,action adventure fantasy horror thriller,the mummy: tomb of the dragon emperor,army china emperor mummy shangri la,english
david ayer,will smith,robin atkin downes,ike barinholtz,action adventure comedy sci-fi,suicide squad,based on comic book critically bashed father daughter relationship reference to superman super villain,english
tom shadyac,jimmy bennett,morgan freeman,steve carell,comedy family fantasy,evan almighty,ark change congressman depiction of god flood,english
doug liman,tom cruise,lara pulver,noah taylor,action adventure sci-fi,edge of tomorrow,alien combat dying repeatedly end of the world time loop,english
kevin reynolds,jeanne tripplehorn,rick aviles,zakes mokae,action adventure sci-fi thriller,waterworld,future sail sea smoker water,english
stephen sommers,joseph gordon-levitt,dennis quaid,leo howard,action adventure sci-fi thriller,g.i. joe: the rise of cobra,cobra gi joe snake train warhead,english
pete docter,amy poehler,mindy kaling,phyllis smith,adventure animation comedy drama family fantasy,inside out,anger joy memory running away sadness,english
jon favreau,scarlett johansson,bill murray,garry shandling,adventure drama family fantasy,the jungle book,fire jungle remake tiger wolf,english
jon favreau,robert downey jr.,scarlett johansson,jon favreau,action adventure sci-fi,iron man 2,hammer military monaco revenge tony stark,english
rupert sanders,chris hemsworth,kristen stewart,sam claflin,action adventure drama fantasy,snow white and the huntsman,evil queen fairy tale magic queen snow white,english
robert stromberg,angelina jolie pitt,sharlto copley,sam riley,action adventure family fantasy romance,maleficent,curse dark fantasy fairy king kingdom,english
matt reeves,gary oldman,judy greer,kodi smit-mcphee,action adventure drama sci-fi,dawn of the planet of the apes,ape dam leader post apocalypse sequel,english
roland joffé,tamsin egerton,alice englert,bipasha basu,action adventure romance sci-fi,the lovers,1770s british india great barrier reef india ring,english
carl rinsch,keanu reeves,cary-hiroyuki tagawa,jin akanishi,action adventure drama fantasy,47 ronin,box office flop ronin samurai shogun tournament,english
anthony russo,scarlett johansson,chris evans,hayley atwell,action adventure sci-fi,captain america: the winter soldier,conspiracy heroism megalomaniac super soldier world domination,english
mike mitchell,jon hamm,kathy griffin,mary kay place,adventure animation comedy family fantasy,shrek forever after,alternate world fairy tale parody female warrior ogre true love,english
brad bird,judy greer,chris bauer,thomas robinson,action adventure family mystery sci-fi,tomorrowland,boy genius futuristic city inventor teenage girl time travel,english
don hall,damon wayans jr.,daniel henney,abraham benrubi,action adventure animation comedy drama family sci-fi,big hero 6,high tech martial arts masked man robot superhero,english
rich moore,jack mcbrayer,sarah silverman,joe lo truglio,adventure animation comedy family sci-fi,wreck-it ralph,arcade candy glitch king medal,english
robert zemeckis,tom hanks,eddie deezen,peter scolari,adventure animation family fantasy,the polar express,boy christmas christmas eve north pole train,english
roland emmerich,vivica a. fox,sela ward,judd hirsch,action adventure sci-fi,independence day: resurgence,alien battle defense independence day mothership,english
dean deblois,gerard butler,america ferrera,craig ferguson,adventure animation family fantasy,how to train your dragon,dragon island training viking village,english
jonathan mostow,nick stahl,m.c. gainey,carolyn hennesy,action sci-fi,terminator 3: rise of the machines,drifter exploding truck future machine skynet,english
james gunn,bradley cooper,vin diesel,djimon hounsou,action adventure sci-fi,guardians of the galaxy,bounty hunter outer space raccoon talking animal tree,english
christopher nolan,matthew mcconaughey,anne hathaway,mackenzie foy,adventure drama sci-fi,interstellar,black hole father daughter relationship saving the world space travel wormhole,english
christopher nolan,leonardo dicaprio,tom hardy,joseph gordon-levitt,action adventure sci-fi thriller,inception,ambiguous ending corporate espionage dream subconscious thief,english
hideaki anno,mark chinnery,shin'ya tsukamoto,atsuko maeda,action adventure drama horror sci-fi,godzilla resurgence,blood godzilla monster sequel,japanese
peter jackson,aidan turner,adam brown,james nesbitt,adventure fantasy,the hobbit: an unexpected journey,dragon dwarf hobbit orc wizard,english
rob cohen,paul walker,vin diesel,jordana brewster,action crime thriller,the fast and the furious,eighteen wheeler illegal street racing truck trucker undercover cop,english
david fincher,brad pitt,jason flemyng,julia ormond,drama fantasy romance,the curious case of benjamin button,deformed baby diary lingerie slip older man younger woman relationship premature aging,english
matthew vaughn,jennifer lawrence,michael fassbender,oliver platt,action adventure sci-fi,x-men: first class,cia cia agent mutant nuclear war professor,english
francis lawrence,jennifer lawrence,philip seymour hoffman,josh hutcherson,adventure sci-fi,the hunger games: mockingjay - part 2,death of sister dystopia execution rebellion revolution,english
jon turteltaub,nicolas cage,omar benson miller,robert capron,action adventure family fantasy,the sorcerer's apprentice,chosen one enchanted object love spell training,english
wolfgang petersen,jimmy bennett,mike vogel,andre braugher,action adventure drama thriller,poseidon,cruise escape ocean passenger water,english
james bobin,johnny depp,alan rickman,anne hathaway,adventure family fantasy,alice through the looking glass,clock dark fantasy mad hatter queen sequel,english
chris miller,justin timberlake,eric idle,rupert everett,adventure animation comedy family fantasy,shrek the third,disney spoof fairy tale prince princess tough guy,english
duncan jones,dominic cooper,callum rennie,ruth negga,action adventure fantasy,warcraft,based on video game fictional language fictional war orc sword and sorcery,english
alan taylor,j.k. simmons,emilia clarke,matt smith,action adventure sci-fi,terminator genisys,alternate timeline cyborg future robot time machine,english
