director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,plot_keywords,language,comb
james cameron,cch pounder,joel david moore,wes studi,action adventure fantasy sci-fi,avatar,avatar future marine native paraplegic,english,cch pounder joel david moore wes studi james cameron action adventure fantasy sci-fi avatar future marine native paraplegic english
gore verbinski,johnny depp,orlando bloom,jack davenport,action adventure fantasy,pirates of the caribbean: at world's end,goddess marriage ceremony marriage proposal pirate singapore,english,johnny depp orlando bloom jack davenport gore verbinski action adventure fantasy goddess marriage ceremony marriage proposal pirate singapore english
sam mendes,christoph waltz,rory kinnear,stephanie sigman,action adventure thriller,spectre,bomb espionage sequel spy terrorist,english,christoph waltz rory kinnear stephanie sigman sam mendes action adventure thriller bomb espionage sequel spy terrorist english
christopher nolan,tom hardy,christian bale,joseph gordon-levitt,action thriller,the dark knight rises,deception imprisonment lawlessness police officer terrorist plot,english,tom hardy christian bale joseph gordon-levitt christopher nolan action thriller deception imprisonment lawlessness police officer terrorist plot english
doug walker,doug walker,rob walker,unknown_actor,documentary,star wars: episode vii - the force awakens            ,unknown_keywords,english,doug walker rob walker unknown_actor doug walker documentary unknown_keywords english
andrew stanton,daryl sabara,samantha morton,polly walker,action adventure sci-fi,john carter,alien american civil war male nipple mars princess,english,daryl sabara samantha morton polly walker andrew stanton action adventure sci-fi alien american civil war male nipple mars princess english
nathan greno,brad garrett,donna murphy,m.c. gainey,adventure animation comedy family fantasy musical romance,tangled,17th century based on fairy tale disney flower tower,english,brad garrett donna murphy m.c. gainey nathan greno adventure animation comedy family fantasy musical romance 17th century based on fairy tale disney flower tower english
joss whedon,chris hemsworth,robert downey jr.,scarlett johansson,action adventure sci-fi,avengers: age of ultron,artificial intelligence based on comic book captain america marvel cinematic universe superhero,english,chris hemsworth robert downey jr. scarlett johansson joss whedon action adventure sci-fi artificial intelligence based on comic book captain america marvel cinematic universe superhero english
david yates,alan rickman,daniel radcliffe,rupert grint,adventure family fantasy mystery,harry potter and the half-blood prince,blood book love potion professor,english,alan rickman daniel radcliffe rupert grint david yates adventure family fantasy mystery blood book love potion professor english
zack snyder,henry cavill,lauren cohan,alan d. purwin,action adventure sci-fi,batman v superman: dawn of justice,based on comic book batman sequel to a reboot superhero superman,english,henry cavill lauren cohan alan d. purwin zack snyder action adventure sci-fi based on comic book batman sequel to a reboot superhero superman english
bryan singer,kevin spacey,marlon brando,frank langella,action adventure sci-fi,superman returns,crystal epic lex luthor lois lane return to earth,english,kevin spacey marlon brando frank langella bryan singer action adventure sci-fi crystal epic lex luthor lois lane return to earth english
marc forster,giancarlo giannini,mathieu amalric,rory kinnear,action adventure,quantum of solace,action hero attempted rape bond girl official james bond series revenge,english,giancarlo giannini mathieu amalric rory kinnear marc forster action adventure action hero attempted rape bond girl official james bond series revenge english
gore verbinski,johnny depp,orlando bloom,jack davenport,action adventure fantasy,pirates of the caribbean: dead man's chest,box office hit giant squid heart liar's dice monster,english,johnny depp orlando bloom jack davenport gore verbinski action adventure fantasy box office hit giant squid heart liar's dice monster english
gore verbinski,johnny depp,ruth wilson,tom wilkinson,action adventure western,the lone ranger,horse outlaw texas texas ranger train,english,johnny depp ruth wilson tom wilkinson gore verbinski action adventure western horse outlaw texas texas ranger train english
zack snyder,henry cavill,christopher meloni,harry lennix,action adventure fantasy sci-fi,man of steel,based on comic book british actor playing american character final battle origin of hero reboot,english,henry cavill christopher meloni harry lennix zack snyder action adventure fantasy sci-fi based on comic book british actor playing american character final battle origin of hero reboot english
andrew adamson,peter dinklage,pierfrancesco favino,damián alcázar,action adventure family fantasy,the chronicles of narnia: prince caspian,brother brother relationship brother sister relationship good versus evil king narnia,english,peter dinklage pierfrancesco favino damián alcázar andrew adamson action adventure family fantasy brother brother relationship brother sister relationship good versus evil king narnia english
rob marshall,johnny depp,sam claflin,stephen graham,action adventure fantasy,pirates of the caribbean: on stranger tides,blackbeard captain pirate revenge soldier,english,johnny depp sam claflin stephen graham rob marshall action adventure fantasy blackbeard captain pirate revenge soldier english
barry sonnenfeld,will smith,michael stuhlbarg,nicole scherzinger,action adventure comedy family fantasy sci-fi,men in black 3,alien criminal m.i.b. maximum security prison prison,english,will smith michael stuhlbarg nicole scherzinger barry sonnenfeld action adventure comedy family fantasy sci-fi alien criminal m.i.b. maximum security prison prison english
peter jackson,aidan turner,adam brown,james nesbitt,adventure fantasy,the hobbit: the battle of the five armies,army elf hobbit middle earth orc,english,aidan turner adam brown james nesbitt peter jackson adventure fantasy army elf hobbit middle earth orc english
marc webb,emma stone,andrew garfield,chris zylka,action adventure fantasy,the amazing spider-man,lizard outcast spider spider man teenager,english,emma stone andrew garfield chris zylka marc webb action adventure fantasy lizard outcast spider spider man teenager english
ridley scott,mark addy,william hurt,scott grimes,action adventure drama history,robin hood,1190s archer england king of england robin hood,english,mark addy william hurt scott grimes ridley scott action adventure drama history 1190s archer england king of england robin hood english
peter jackson,aidan turner,adam brown,james nesbitt,adventure fantasy,the hobbit: the desolation of smaug,dwarf elf lake town mountain sword and sorcery,english,aidan turner adam brown james nesbitt peter jackson adventure fantasy dwarf elf lake town mountain sword and sorcery english
chris weitz,christopher lee,eva green,kristin scott thomas,adventure family fantasy,the golden compass,children epic friend girl quest,english,christopher lee eva green kristin scott thomas chris weitz adventure family fantasy children epic friend girl quest english
james cameron,leonardo dicaprio,kate winslet,gloria stuart,drama romance,titanic,artist love ship titanic wet,english,leonardo dicaprio kate winslet gloria stuart james cameron drama romance artist love ship titanic wet english
anthony russo,robert downey jr.,scarlett johansson,chris evans,action adventure sci-fi,captain america: civil war,based on comic book knife marvel cinematic universe returning character killed off superhero,english,robert downey jr. scarlett johansson chris evans anthony russo action adventure sci-fi based on comic book knife marvel cinematic universe returning character killed off superhero english
peter berg,liam neeson,alexander skarsgård,tadanobu asano,action adventure sci-fi thriller,battleship,box office flop hawaii naval oahu hawaii ship,english,liam neeson alexander skarsgård tadanobu asano peter berg action adventure sci-fi thriller box office flop hawaii naval oahu hawaii ship english
colin trevorrow,bryce dallas howard,judy greer,omar sy,action adventure sci-fi thriller,jurassic world,dinosaur disaster film experiment gone wrong jurassic park velociraptor,english,bryce dallas howard judy greer omar sy colin trevorrow action adventure sci-fi thriller dinosaur disaster film experiment gone wrong jurassic park velociraptor english
sam raimi,j.k. simmons,james franco,kirsten dunst,action adventure fantasy romance,spider-man 2,death doctor scientist super villain tentacle,english,j.k. simmons james franco kirsten dunst sam raimi action adventure fantasy romance death doctor scientist super villain tentacle english
shane black,robert downey jr.,jon favreau,don cheadle,action adventure sci-fi,iron man 3,armor explosion human bomb missile attack terrorist,english,robert downey jr. jon favreau don cheadle shane black action adventure sci-fi armor explosion human bomb missile attack terrorist english
brett ratner,hugh jackman,kelsey grammer,daniel cudmore,action adventure fantasy sci-fi thriller,x-men: the last stand,battle mutant outrage walking through a wall x men,english,hugh jackman kelsey grammer daniel cudmore brett ratner action adventure fantasy sci-fi thriller battle mutant outrage walking through a wall x men english
dan scanlon,steve buscemi,tyler labine,sean hayes,adventure animation comedy family fantasy,monsters university,cheating fraternity monster singing in a car university,english,steve buscemi tyler labine sean hayes dan scanlon adventure animation comedy family fantasy cheating fraternity monster singing in a car university english
michael bay,glenn morshower,kevin dunn,ramon rodriguez,action adventure sci-fi,transformers: revenge of the fallen,autobot decepticon machine sun symbol,english,glenn morshower kevin dunn ramon rodriguez michael bay action adventure sci-fi autobot decepticon machine sun symbol english
michael bay,bingbing li,sophia myles,kelsey grammer,action adventure sci-fi,transformers: age of extinction,blockbuster bumblebee the character semi truck and trailer texas truck,english,bingbing li sophia myles kelsey grammer michael bay action adventure sci-fi blockbuster bumblebee the character semi truck and trailer texas truck english
marc webb,emma stone,andrew garfield,b.j. novak,action adventure fantasy sci-fi,the amazing spider-man 2,costumed hero death of girlfriend masked vigilante returning character killed off teenager,english,emma stone andrew garfield b.j. novak marc webb action adventure fantasy sci-fi costumed hero death of girlfriend masked vigilante returning character killed off teenager english
john lasseter,joe mantegna,thomas kretschmann,eddie izzard,adventure animation comedy family sport,cars 2,best friend car race conspiracy gadget car spy,english,joe mantegna thomas kretschmann eddie izzard john lasseter adventure animation comedy family sport best friend car race conspiracy gadget car spy english
martin campbell,ryan reynolds,temuera morrison,taika waititi,action adventure sci-fi,green lantern,autopsy lantern planet ring test pilot,english,ryan reynolds temuera morrison taika waititi martin campbell action adventure sci-fi autopsy lantern planet ring test pilot english
lee unkrich,tom hanks,john ratzenberger,don rickles,adventure animation comedy family fantasy,toy story 3,college day care escape teddy bear toy,english,tom hanks john ratzenberger don rickles lee unkrich adventure animation comedy family fantasy college day care escape teddy bear toy english
mcg,christian bale,bryce dallas howard,common,action adventure sci-fi,terminator salvation,death row future machine rescue skynet,english,christian bale bryce dallas howard common mcg action adventure sci-fi death row future machine rescue skynet english
james wan,jason statham,paul walker,vin diesel,action crime thriller,furious 7,car falling off a cliff hospital revenge star died before release terrorist,english,jason statham paul walker vin diesel james wan action crime thriller car falling off a cliff hospital revenge star died before release terrorist english
marc forster,peter capaldi,brad pitt,mireille enos,action adventure horror sci-fi thriller,world war z,chaos disease infection pandemic zombie,english,peter capaldi brad pitt mireille enos marc forster action adventure horror sci-fi thriller chaos disease infection pandemic zombie english
bryan singer,jennifer lawrence,peter dinklage,hugh jackman,action adventure fantasy sci-fi thriller,x-men: days of future past,dystopia super strength supernatural power time paradox time travel,english,jennifer lawrence peter dinklage hugh jackman bryan singer action adventure fantasy sci-fi thriller dystopia super strength supernatural power time paradox time travel english
j.j. abrams,benedict cumberbatch,bruce greenwood,noel clarke,action adventure sci-fi,star trek into darkness,admiral captain manhunt mission space,english,benedict cumberbatch bruce greenwood noel clarke j.j. abrams action adventure sci-fi admiral captain manhunt mission space english
bryan singer,eddie marsan,ewen bremner,ralph brown,adventure fantasy,jack the giant slayer,bean giant king no opening credits princess,english,eddie marsan ewen bremner ralph brown bryan singer adventure fantasy bean giant king no opening credits princess english
mike newell,jake gyllenhaal,richard coyle,reece ritchie,action adventure fantasy romance,prince of persia: the sands of time,alamut dagger king persia princess,english,jake gyllenhaal richard coyle reece ritchie mike newell action adventure fantasy romance alamut dagger king persia princess english
guillermo del toro,charlie hunnam,clifton collins jr.,larry joe campbell,action adventure sci-fi,pacific rim,giant monster kaiju pilot portal robot,english,charlie hunnam clifton collins jr. larry joe campbell guillermo del toro action adventure sci-fi giant monster kaiju pilot portal robot english
michael bay,glenn morshower,lester speight,kevin dunn,action adventure sci-fi,transformers: dark of the moon,autobot decepticon job interview moon spacecraft,english,glenn morshower lester speight kevin dunn michael bay action adventure sci-fi autobot decepticon job interview moon spacecraft english
steven spielberg,harrison ford,ray winstone,jim broadbent,action adventure fantasy,indiana jones and the kingdom of the crystal skull,cult figure femme fatale indiana jones unsubtitled foreign language year 1957,english,harrison ford ray winstone jim broadbent steven spielberg action adventure fantasy cult figure femme fatale indiana jones unsubtitled foreign language year 1957 english
peter sohn,a.j. buckley,jack mcgraw,peter sohn,adventure animation comedy family fantasy,the good dinosaur,apatosaurus asteroid dinosaur fear river,english,a.j. buckley jack mcgraw peter sohn peter sohn adventure animation comedy family fantasy apatosaurus asteroid dinosaur fear river english
mark andrews,kelly macdonald,john ratzenberger,julie walters,adventure animation comedy family fantasy,brave,archery coming of age female warrior princess rebellious daughter,english,kelly macdonald john ratzenberger julie walters mark andrews adventure animation comedy family fantasy archery coming of age female warrior princess rebellious daughter english
justin lin,sofia boutella,melissa roxburgh,lydia wilson,action adventure sci-fi thriller,star trek beyond,hatred sequel space opera star trek third part,english,sofia boutella melissa roxburgh lydia wilson justin lin action adventure sci-fi thriller hatred sequel space opera star trek third part english
andrew stanton,john ratzenberger,fred willard,jeff garlin,adventure animation family sci-fi,wall·e,earth obesity plant robot soil,english,john ratzenberger fred willard jeff garlin andrew stanton adventure animation family sci-fi earth obesity plant robot soil english
brett ratner,tzi ma,dana ivey,noémie lenoir,action comedy crime thriller,rush hour 3,ambassador assassination chinese french triad,english,tzi ma dana ivey noémie lenoir brett ratner action comedy crime thriller ambassador assassination chinese french triad english
roland emmerich,oliver platt,liam james,tom mccarthy,action adventure sci-fi,2012,ark catastrophe geologist president writer,english,oliver platt liam james tom mccarthy roland emmerich action adventure sci-fi ark catastrophe geologist president writer english
robert zemeckis,robin wright,colin firth,gary oldman,animation drama family fantasy,a christmas carol,charles dickens christmas christmas eve ghost scrooge,english,robin wright colin firth gary oldman robert zemeckis animation drama family fantasy charles dickens christmas christmas eve ghost scrooge english
lana wachowski,channing tatum,mila kunis,eddie redmayne,action adventure sci-fi,jupiter ascending,box office flop critically bashed planet earth space opera woman in bra and panties,english,channing tatum mila kunis eddie redmayne lana wachowski action adventure sci-fi box office flop critically bashed planet earth space opera woman in bra and panties english
andrew adamson,jim broadbent,kiran shah,shane rangi,adventure family fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe",hide and seek lion magic professor snow,english,jim broadbent kiran shah shane rangi andrew adamson adventure family fantasy hide and seek lion magic professor snow english
bryan singer,jennifer lawrence,michael fassbender,tye sheridan,action adventure sci-fi,x-men: apocalypse,mutant superhero superhero team x men year 1983,english,jennifer lawrence michael fassbender tye sheridan bryan singer action adventure sci-fi mutant superhero superhero team x men year 1983 english
christopher nolan,christian bale,heath ledger,morgan freeman,action crime drama thriller,the dark knight,based on comic book dc comics psychopath star died before release urban setting,english,christian bale heath ledger morgan freeman christopher nolan action crime drama thriller based on comic book dc comics psychopath star died before release urban setting english
pete docter,john ratzenberger,delroy lindo,jess harnell,adventure animation comedy family,up,balloon house promise retirement skeleton,english,john ratzenberger delroy lindo jess harnell pete docter adventure animation comedy family balloon house promise retirement skeleton english
rob letterman,amy poehler,rainn wilson,stephen colbert,action adventure animation comedy family sci-fi,monsters vs. aliens,alien alien invasion alien space craft giant giantess,english,amy poehler rainn wilson stephen colbert rob letterman action adventure animation comedy family sci-fi alien alien invasion alien space craft giant giantess english
jon favreau,robert downey jr.,jeff bridges,jon favreau,action adventure sci-fi,iron man,afghanistan billionaire inventor playboy u.s. air force,english,robert downey jr. jeff bridges jon favreau jon favreau action adventure sci-fi afghanistan billionaire inventor playboy u.s. air force english
martin scorsese,chloë grace moretz,christopher lee,ray winstone,adventure drama family mystery,hugo,automaton mechanical railway station steampunk train,english,chloë grace moretz christopher lee ray winstone martin scorsese adventure drama family mystery automaton mechanical railway station steampunk train english
barry sonnenfeld,will smith,salma hayek,bai ling,action comedy sci-fi western,wild wild west,buddy movie general inventor steampunk utah,english,will smith salma hayek bai ling barry sonnenfeld action comedy sci-fi western buddy movie general inventor steampunk utah english
rob cohen,jet li,brendan fraser,russell wong,action adventure fantasy horror thriller,the mummy: tomb of the dragon emperor,army china emperor mummy shangri la,english,jet li brendan fraser russell wong rob cohen action adventure fantasy horror thriller army china emperor mummy shangri la english
